4050;Kabinet;0;449.0;126.0;472.0;160.0
4048;Kabinet;0;474.0;127.0;499.0;161.0
4046;Kabinet;0;501.0;125.0;526.0;159.0
4044;Kabinet;0;527.0;124.0;592.0;159.0
4102;Kabinet;0;24.0;169.0;55.0;187.0
4101;Kabinet;0;25.0;189.0;56.0;205.0
4103;Koostööruum;0;68.0;171.0;123.0;208.0
4104;Kantselei;0;121.0;170.0;150.0;208.0
4063;Kabinet;0;236.0;170.0;256.0;209.0
4062;Kabinet;0;256.0;175.0;272.0;211.0
4060;Kabinet;0;273.0;176.0;296.0;210.0
4059;Kabinet;0;296.0;175.0;322.0;210.0
4057;Kabinet;0;321.0;172.0;349.0;210.0
4055;Kabinet;0;349.0;173.0;376.0;210.0
4054;Kabinet;0;375.0;179.0;401.0;212.0
4053;Kabinet;0;403.0;172.0;435.0;212.0
4051;Kabinet;0;436.0;172.0;455.0;212.0
4049;Kabinet;0;456.0;175.0;483.0;213.0
4047;Kabinet;0;483.0;170.0;508.0;212.0
4045;Puhkeruum;0;509.0;172.0;580.0;213.0
4100;Kabinet;0;24.0;208.0;56.0;223.0
4098;Kabinet;0;24.0;224.0;57.0;238.0
4096;Kabinet;0;24.0;239.0;53.0;253.0
4094;Kabinet;0;23.0;254.0;54.0;270.0
4093;Kabinet;0;24.0;270.0;54.0;286.0
4091;Kabinet;0;24.0;286.0;52.0;302.0
4089;Kabinet;0;26.0;302.0;53.0;318.0
4087;Kabinet;0;26.0;318.0;57.0;335.0
4086;Kabinet;0;25.0;334.0;56.0;350.0
4085;Kabinet;0;25.0;348.0;57.0;374.0
4099;Kabinet;0;69.0;208.0;106.0;233.0
4097;Kabinet;0;69.0;232.0;105.0;253.0
4095;Hoiuruum;0;71.0;253.0;105.0;274.0
4092;Kabinet;0;69.0;272.0;105.0;295.0
4090;Kabinet;0;69.0;297.0;106.0;318.0
4088;Kabinet;0;69.0;318.0;107.0;343.0
4083;Ventilatsioon;0;71.0;345.0;140.0;388.0
4084;Puhkeruum;0;70.0;387.0;131.0;420.0
4066;Puhkeruum;0;161.0;172.0;197.0;226.0
4068;Kabinet;0;145.0;222.0;181.0;254.0
4071;Kabinet;0;137.0;254.0;175.0;275.0
4073;Kabinet;0;134.0;276.0;162.0;299.0
4076;Kabinet;0;128.0;295.0;157.0;322.0
4078;Kabinet;0;122.0;319.0;152.0;346.0
4067;Kabinet;0;200.0;201.0;235.0;238.0
